Name,Tier,Points,PUUID
asdawf1a#1111,MASTER,345,sr61c8-IeKQb-V-iRkLann3lZS0MxQit87o0BTcqtEY2jpElCecZ-ohHf6WIrkzTBQwWhdTYzIcWcg
LAZER DIM 700#XDD,MASTER,345,JhPqCZ2hdVFa0YguxqAzZPeLBvjbLWCJeSnZdmXnQyXLBSagszHSl1BoXFlVpUo4gTqsUdp0zWBnew
Color Your Night#Time,MASTER,345,FjDR7jkDvM3xfP3ZD9YfNxR6DIXNXAV9nf3gUb0CdAT80ReETknKj61tPh070aEAjAQmBkM8OuspZw
LimeWire#LWire,MASTER,345,iEiDIzX7u1N3nLc660P5BzHXuenkBNwHdu5fOsuswjnLA5Hs9u92JOiqUyFvXO6zrgJGrJcqcv_QMQ
Laceration#Zed,MASTER,344,G1VNwYFdvD3hATmUabo3C3za--TVNIdOSCkOVSbV0LAS-uBXNiRXy0wTRRolsKTpxLZfqJqYCOYPwg
MaskedZero#NA1,MASTER,344,quRXs_hHw-uMOKCHtGTEsY8Nh8udMx_7878TKzTZGxRmVG8rvTMB9sqd6jcOjmW_gOOuL9K-iqgwbQ
Fatihcan#1515,MASTER,341,oIV7TL6OgG8Di9wsjANwDOeCUFULlAlXcsqyIAx7bHkTFElggWHEYhEsTbUg284NCkaSSOjXpiqtug
CHAD BIG P#DNP,MASTER,341,IOJZYhLRK1PzJGg5xhSnjetHMMY0knPRAUWGgPH4xA5JQeKwDCv8FbKJKafxnX2r2nRFPv_Y4GECzA
Palafoxy#CHOMP,MASTER,341,WCogJdKVek0BBP_6L_J0A37lZ5VNgceob4Ivpa0rKfiGNvnI9a-aXLlAXS97QkYmbpe0_S1mRFzxIA
Vladmidir#Twtv,MASTER,340,EXlcyIrGQPT9BxT0YJ-vLCNXbMOOwvfeXr2suWC65EuYdTVUUFrc7KPOA-MRHZuSxqqXf3S1ddhHkQ
glysbha#NA2,MASTER,340,2JQu390MwG-Wb3YBP_0ePQVapOOF2RTKCHKa6i72dkP03q68dO4ycuFXmVd6PAJEfNMcbLuq6zWPhg
JEREMY FRAGRENCE#6969,MASTER,340,LBAldOz0PFURMshgXZaPIdYvC5OqCTwCCmkDjLGAG2OLDcOzc_4dr0nx28knNm0cjRolshRi2Bl2rQ
gandhi mental#NA1,MASTER,340,F6tn6wsdr2QH51vV378R_0Wj50lZATyNrqQ2lg7ZSHE7PGdtCHMNp6qevyc7_T-0u3hEbaVSHj8ziQ
Darkest#0001,MASTER,339,XdVbaiv6-CPJfxcZAg8mLJmkvzgghyteejlDsphlYoQmlneLPuoh1MsaVh8qMqHgNPZa9tn7f5fsbA
Yubs#NAVI,MASTER,339,rzsBYfgstm9YNWijhbAvGMbv5GnGGhduGyYULVrgEvaf6TPnKfRzVi8HfU8Bkhip5473VifsMvE-Dw
07th Expansion#NA1,MASTER,339,Gm4UYPEblbwJpeSpsu7GIN_aD_qkaiFh1ecHxZz84Wb9mSya985KkQSE722NjcPebIWLgMl-UlH6mw
Levi#4418,MASTER,338,aEt2B-6c1oOs1thuei_yorwj44qL3m-nzQZ1cyMhYmXh0cn12kwwYQ6anJlpF5bZJxRWKwxxG1q-tA
forfunnotiltpls#heyyy,MASTER,338,cWbaAB2PGH0bRAqzhSsEPI6VQ7VkmnMA0zkoeEx9gE93EVwixoO7rsWDLP7eCQ7q1KDnCiVnC6MHqA
engy#1v9,MASTER,337,bdpp5PWmRPaMiuBMtTwkL1l3JYn0jWmrfzNS3aAS2ccHjCcBXfVSalX97V4phfw_IghOUNqLsbdc2Q
Enen#NA123,MASTER,337,4-2ovL08T47gqrDXKoiSk7b5b_Duc379Gui0yKagxdUoIY6A0qqfdJS_9O95zcGBm0q3fNqKvx3j8A
male moans#yum,MASTER,337,g9_SDMBO64QvmBjNfOU4kQ169DHysqObku8wWcXoxe_09gUaupXAIOqHhX1mnvKrcY00hGMztH4SbA
Pure9#NA1,MASTER,337,lSwsTd8zqL1sUy6DfeASDB17XZzE2QK26oe25pM-7QKxExmEywQG3Ut7gD3Xs_PAUC2VrQGB2qmLrA
Nilo#100,MASTER,337,8ba0AtBXWASEoy7nAO2tR9qcu8JoNwpkOP0uLnHm2vGIww2p3ml8r68aAWQKuy4EmP-dwBMKPnHLfQ
納豆おにぎり#0331,MASTER,337,UjwTS7ujOIbx73MJCE6j-L53NwY2MUPUPIN1mc90PquwnC9P1IsfLO1sRjd1nDT6gQcR-8lTesFWMw
TR1LL#NA1,MASTER,336,Uv2TJ2EWONZN_zIBMmwSDCpF9wJ4TZCgLlDt_2zb9MBvVfs-zSlm5nCCPqBNELvk09Jh35IzOtkEwQ
Nvarii#NA1,MASTER,336,NzcMXNX0GRsiwkFE1NMZYltI2tcWUgrbdR5c4xwq1_0jW4TRGPtBvZvPt90-ST4mKPYvVoJyUPKpqw
Raneki#NA1,MASTER,335,48SKCz5AKw9bNySp9d1D2NT8a9GL1HciS_1cuIBFbgXitFo1KgaMq2ZpVQsjztj4wiu8Io-TZLEvdw
mason margiela#moss,MASTER,335,JC1_YTbUOgukR4CUV3pC3M1AtPYEJgkbnou38sIQ7CcNAzlOFF9aBldcYCwkZeBZoVvIU3XaCAGyWA
twtv rocks908#NA1,MASTER,335,rotyvct3K-Yxd15s9L7Jwofgvb3a6lNnDIAfd9cyAFwyCyMjblDyD4IQsD9eUxP3xuI3Gz6vKW9W_w
shadow flying#525,MASTER,334,2reDesIx8C7-JGSy7JOP9GEQ94pIJczKid80zJXfdtNLwyxmLTYCq3WdT5mWGNpDVmMaWUDbUbgx5Q
Laccen#7121,MASTER,334,wKsHIYHOsU7SBPqD2gbi9fkcD8Uf-XNssHN5vLiMNrtClqnSSpxLcvGFRrZ5eH5QxDqmOoxo83QbsQ
Giraffe#lyx,MASTER,333,Qgrz26eZBkRgk4Bq91c9Upd30vBUBPahl3esce5Lpav-CBp5K62qzG3g4UuhVL7mGFwB72xTgPibVw
July 8 #NA1,MASTER,332,HPigRqs_Bhq3OMbmdrKbhzrzVicaQ5FoiVFWkxRFvKv39j8unwkZjN_lkokQ03VpCD_m3L5vtxE8og
Charime#NA1,MASTER,331,tUwixdT-_BrlrW1ok3bToqydDzZyMKM7TecMBtIgrEYbX-9hDcNhJ4hT-23sHgUDX1s-HsUCOp-x7Q
arena closer#NA1,MASTER,331,EEwlQ6r4AUeniuwJx0lBYMoPwXj9JU6Kx0Nl5tHtRtMY1VBLrYiXv6c_ijGVQjTR-iq1bQXbCjVk5Q
Yukimiya Kenyu#NA2,MASTER,330,hkDfQicRhcgYJ5zjrOvQa6ssWQTFyTEPJU8eg5PWf3y9OYuBluOfutamGYJs_Bs2R0LKPBvjHDRXbw
TSFC#SDTS,MASTER,330,VNsMGkG6lOoR6Tm30DkM0JWdKNYTqb25wjfXMtaGWgYfUngcMfXZGnfoO38WVJikZhpaQ6xBu5-Nyg
BadassKetchup#NA1,MASTER,329,Ko6Dh0eBsjtNlkb1A3ptqxdTDTcgHrRe3bj0sTFVv5voKakSm1U44-XSEWm3tr6DtfYBKtKgMuRpCQ
Ragdoll#Annie,MASTER,329,c1x78mOcQHn-gV6HQLJPsC7BxaPwDH6pnjoLpG5UVXqrF85BQTfhhLBmtEBISNUWSQ3ErbxmmDC0ew
everythingchrome#CN1,MASTER,329,eaLUChcHxptf00IV6GD6sPlJvT1Whcq6bn--X-InWl4GNdEftmUwXrmYqcSJJHoNU41W5xHbMC8wHg
Stesallye#NA1,MASTER,329,-OK-9V5KwTzzEjUkwHFNurXDGLcAxiEPwLV92B1bz2v2k3jFCPTVB6wajyWGeY2us7Yw4CXKfXzMog
Hollowed#0000,MASTER,328,TzRLcjuL8lgjmkArS5az8XEUzaTQPa9fFlS7pqTlVo1S0cqXxo5ntDYwmsS3TK3Cuy0w8YXDT3AgRg
machoman#6699,MASTER,328,mGfDXG0cpG3s1E3cjxcZoda_HmJ9G3xKggalUsy-Dm4B6bIPiRt_7DEisbY0dKH9ni-Bcs6JrDsMKQ
bunni#eri,MASTER,328,81B-akPLBWMrU5TcBf_w0PQPyh1yGuBdQX3GpHiTcva8jl5U70vORJBmCbJweXrDinPGfAwABDl4Og
BATEAU PIRATE#92i,MASTER,328,KycnosQtrnSDmYiHEacSi1BBa9K15DSpfK7oLQnrxWFKqXjlalMOFHCuR1skCoQACG91Ssf1MHa53Q
ώώώώ#0106,MASTER,328,Z31LDi2cuENhRNoViUUVdKpBiwAfOZi385kbQ5iJd4_8r4c8YzegnoJaqmZEW7Veqdezpvajpkiw4g
芯 宝#爱洋洋,MASTER,327,qJaEokYkwVVvLn6xd5phCowIgbUlbMdwig8qF8tcfQPso-Ao7cwEGDxUIZrd_wwTvmyVXGnVvc3AWQ
WZF#2003,MASTER,327,jE5XkyCKZXCzEf868I9TVPxdkZOMXVnKRSp81AfzgMAq_rqjK34UuRecJHd_zBQ6kn6aXAWO8ZwVmg
